timestamp,can_id,dlc,payload
1787467870.671253,101,4,00 00 00 64
1787467870.785720,102,4,00 00 00 50
1787467870.898784,100,4,00 00 03 E8
1787467871.013229,101,4,00 00 00 64
1787467871.126619,102,4,00 00 00 50
1787467871.237167,100,4,00 00 03 E8
1787467871.347934,101,4,00 00 00 64
1787467871.458248,102,4,00 00 00 50
1787467871.570038,100,4,00 00 03 E8
1787467871.682564,101,4,00 00 00 64
1787467871.791810,102,4,00 00 00 50
1787467871.902767,100,4,00 00 03 E8
1787467872.015085,101,4,00 00 00 64
1787467872.131466,102,4,00 00 00 50
1787467872.253558,100,4,00 00 03 E8
1787467872.360764,101,4,00 00 00 64
1787467872.468104,102,4,00 00 00 50
1787467872.580168,100,4,00 00 03 E8
1787467872.692166,101,4,00 00 00 64
1787467872.803653,102,4,00 00 00 50
1787467872.910484,100,4,00 00 03 E8
1787467873.019503,101,4,00 00 00 64
1787467873.130563,102,4,00 00 00 50
1787467873.243408,100,4,00 00 03 E8
1787467873.353563,101,4,00 00 00 64
1787467873.459817,102,4,00 00 00 50
1787467873.569790,100,4,00 00 03 E8
1787467873.676615,101,4,00 00 00 64
1787467873.785982,102,4,00 00 00 50
1787467873.895585,100,4,00 00 03 E8
1787467874.004679,101,4,00 00 00 64
1787467874.112602,102,4,00 00 00 50
1787467874.220358,100,4,00 00 03 E8
1787467874.327362,101,4,00 00 00 64
1787467874.435552,102,4,00 00 00 50
1787467874.543125,100,4,00 00 03 E8
1787467874.659222,101,4,00 00 00 64
1787467874.772068,102,4,00 00 00 50
1787467874.885058,100,4,00 00 03 E8
1787467874.992655,101,4,00 00 00 64
1787467875.103777,102,4,00 00 00 50
1787467875.217363,100,4,00 00 03 E8
1787467875.325335,101,4,00 00 00 64
1787467875.433662,102,4,00 00 00 50
1787467875.545106,100,4,00 00 03 E8
1787467875.654827,101,4,00 00 00 64
1787467875.764596,102,4,00 00 00 50
1787467875.870465,100,4,00 00 03 E8
1787467875.980791,101,4,00 00 00 64
1787467876.089486,102,4,00 00 00 50
1787467876.202268,100,4,00 00 03 E8
1787467876.309808,101,4,00 00 00 64
1787467876.427330,102,4,00 00 00 50
1787467876.537769,100,4,00 00 03 E8
1787467876.646887,101,4,00 00 00 64
1787467876.757562,102,4,00 00 00 50
1787467876.864351,100,4,00 00 03 E8
1787467876.971040,101,4,00 00 00 64
1787467877.077692,102,4,00 00 00 50
1787467877.185655,100,4,00 00 03 E8
1787467877.293959,101,4,00 00 00 64
1787467877.401742,102,4,00 00 00 50
1787467877.511061,100,4,00 00 03 E8
1787467877.622605,101,4,00 00 00 64
1787467877.732907,102,4,00 00 00 50
1787467877.845842,100,4,00 00 03 E8
1787467877.954966,101,4,00 00 00 64
1787467878.063488,102,4,00 00 00 50
1787467878.179459,100,4,00 00 03 E8
1787467878.288744,101,4,00 00 00 64
1787467878.400959,102,4,00 00 00 50
1787467878.510610,100,4,00 00 03 E8
1787467878.620914,101,4,00 00 00 64
1787467878.735560,102,4,00 00 00 50
1787467878.855088,100,4,00 00 03 E8
1787467878.971506,101,4,00 00 00 64
1787467879.083642,102,4,00 00 00 50
1787467879.195024,100,4,00 00 03 E8
1787467879.304622,101,4,00 00 00 64
1787467879.415318,102,4,00 00 00 50
1787467879.526292,100,4,00 00 03 E8
1787467879.638107,101,4,00 00 00 64
1787467879.753811,102,4,00 00 00 50
1787467879.864123,100,4,00 00 03 E8
1787467879.977256,101,4,00 00 00 64
1787467880.090557,102,4,00 00 00 50
1787467880.201153,100,4,00 00 03 E8
1787467880.311809,101,4,00 00 00 64
1787467880.429802,102,4,00 00 00 50
1787467880.540801,100,4,00 00 03 E8
1787467880.654094,101,4,00 00 00 64
1787467880.766244,102,4,00 00 00 50
1787467880.879564,100,4,00 00 03 E8
1787467880.992437,101,4,00 00 00 64
1787467881.105801,102,4,00 00 00 50
1787467881.216520,100,4,00 00 03 E8
1787467881.327800,101,4,00 00 00 64
1787467881.441156,102,4,00 00 00 50
1787467881.551687,100,4,00 00 03 E8
1787467881.662735,101,4,00 00 00 64
1787467881.773344,102,4,00 00 00 50
1787467881.883892,100,4,00 00 03 E8
1787467881.998423,101,4,00 00 00 64
1787467882.113251,102,4,00 00 00 50
1787467882.226063,100,4,00 00 03 E8
1787467882.339084,101,4,00 00 00 64
1787467882.457089,102,4,00 00 00 50
1787467882.560327,100,4,00 00 03 E8
1787467882.671846,101,4,00 00 00 64
1787467882.788124,102,4,00 00 00 50
1787467882.900481,100,4,00 00 03 E8
1787467883.013107,101,4,00 00 00 64
1787467883.122920,102,4,00 00 00 50
1787467883.228064,100,4,00 00 03 E8
1787467883.336972,101,4,00 00 00 64
1787467883.445833,102,4,00 00 00 50
1787467883.556452,100,4,00 00 03 E8
1787467883.667562,101,4,00 00 00 64
1787467883.774113,102,4,00 00 00 50
1787467883.883494,100,4,00 00 03 E8
1787467884.004853,101,4,00 00 00 64
1787467884.115795,102,4,00 00 00 50
1787467884.226254,100,4,00 00 03 E8
1787467884.338721,101,4,00 00 00 64
1787467884.449878,102,4,00 00 00 50
1787467884.561757,100,4,00 00 03 E8
1787467884.671742,101,4,00 00 00 64
1787467884.778592,102,4,00 00 00 50
1787467884.885169,100,4,00 00 03 E8
1787467884.992458,101,4,00 00 00 64
1787467885.099026,102,4,00 00 00 50
1787467885.208947,100,4,00 00 03 E8
1787467885.320926,101,4,00 00 00 64
1787467885.431965,102,4,00 00 00 50
1787467885.548397,100,4,00 00 03 E8
1787467885.660476,101,4,00 00 00 64
1787467885.773780,102,4,00 00 00 50
1787467885.884456,100,4,00 00 03 E8
1787467885.996523,101,4,00 00 00 64
1787467886.105370,102,4,00 00 00 50
1787467886.222362,100,4,00 00 03 E8
1787467886.334361,101,4,00 00 00 64
1787467886.455664,102,4,00 00 00 50
1787467886.571398,100,4,00 00 03 E8
1787467886.682842,101,4,00 00 00 64
1787467886.791520,102,4,00 00 00 50
1787467886.898910,100,4,00 00 03 E8
1787467887.007145,101,4,00 00 00 64
1787467887.117368,102,4,00 00 00 50
1787467887.231910,100,4,00 00 03 E8
1787467887.346145,101,4,00 00 00 64
1787467887.455870,102,4,00 00 00 50
1787467887.566620,100,4,00 00 03 E8
1787467887.682295,101,4,00 00 00 64
1787467887.796802,102,4,00 00 00 50
1787467887.909769,100,4,00 00 03 E8
1787467888.025657,101,4,00 00 00 64
1787467888.132193,102,4,00 00 00 50
1787467888.243546,100,4,00 00 03 E8
1787467888.354578,101,4,00 00 00 64
1787467888.471336,102,4,00 00 00 50
1787467888.581892,100,4,00 00 03 E8
1787467888.694839,101,4,00 00 00 64
1787467888.811354,102,4,00 00 00 50
1787467888.931324,100,4,00 00 03 E8
1787467889.046587,101,4,00 00 00 64
1787467889.162075,102,4,00 00 00 50
1787467889.274750,100,4,00 00 03 E8
1787467889.387385,101,4,00 00 00 64
1787467889.497140,102,4,00 00 00 50
1787467889.608672,100,4,00 00 03 E8
1787467889.723450,101,4,00 00 00 64
1787467889.839917,102,4,00 00 00 50
1787467889.951786,100,4,00 00 03 E8
1787467890.059140,101,4,00 00 00 64
1787467890.170273,102,4,00 00 00 50
1787467890.284388,100,4,00 00 03 E8
1787467890.394414,101,4,00 00 00 64
1787467890.502560,102,4,00 00 00 50
1787467890.614631,100,4,00 00 03 E8
1787467890.722575,101,4,00 00 00 64
1787467890.831465,102,4,00 00 00 50
1787467890.945497,100,4,00 00 03 E8
1787467891.054881,101,4,00 00 00 64
1787467891.164325,102,4,00 00 00 50
1787467891.272960,100,4,00 00 03 E8
1787467891.383280,101,4,00 00 00 64
1787467891.493842,102,4,00 00 00 50
1787467891.604328,100,4,00 00 03 E8
1787467891.711882,101,4,00 00 00 64
1787467891.822201,102,4,00 00 00 50
1787467891.934969,100,4,00 00 03 E8
1787467892.045187,101,4,00 00 00 64
1787467892.158499,102,4,00 00 00 50
1787467892.273701,100,4,00 00 03 E8
1787467892.384812,101,4,00 00 00 64
1787467892.502073,102,4,00 00 00 50
1787467892.612620,100,4,00 00 03 E8
1787467892.722513,101,4,00 00 00 64
1787467892.834641,102,4,00 00 00 50
1787467892.946764,100,4,00 00 03 E8
1787467893.057184,101,4,00 00 00 64
1787467893.168858,102,4,00 00 00 50
1787467893.281173,100,4,00 00 03 E8
1787467893.394006,101,4,00 00 00 64
1787467893.505760,102,4,00 00 00 50
1787467893.616380,100,4,00 00 03 E8
1787467893.727835,101,4,00 00 00 64
1787467893.839720,102,4,00 00 00 50
1787467893.953048,100,4,00 00 03 E8
1787467894.067556,101,4,00 00 00 64
1787467894.182828,102,4,00 00 00 50
1787467894.295688,100,4,00 00 03 E8
1787467894.408035,101,4,00 00 00 64
1787467894.520283,102,4,00 00 00 50
1787467894.631267,100,4,00 00 03 E8
1787467894.745999,101,4,00 00 00 64
1787467894.861206,102,4,00 00 00 50
1787467894.972281,100,4,00 00 03 E8
1787467895.082637,101,4,00 00 00 64
1787467895.194004,102,4,00 00 00 50
1787467895.307149,100,4,00 00 03 E8
1787467895.422673,101,4,00 00 00 64
1787467895.534612,102,4,00 00 00 50
1787467895.649236,100,4,00 00 03 E8
1787467895.763108,101,4,00 00 00 64
1787467895.878277,102,4,00 00 00 50
1787467895.988487,100,4,00 00 03 E8
1787467896.099141,101,4,00 00 00 64
